"stratum","hemisphere","i","j","k","x","y","z","hospa","hocpa"
"near_edge","L",89,75,0,-2,-51,-72,0,0
"near_edge","L",77,124,150,-14,-2,78,0,0
"near_edge","L",86,194,56,-5,68,-16,2,1
"near_edge","L",76,25,93,-15,-101,21,2,48
"near_edge","L",23,109,67,-68,-17,-5,2,0
"near_edge","L",79,70,148,-12,-56,76,0,0
"near_edge","L",26,79,109,-65,-47,37,0,0
"near_edge","L",81,194,97,-10,68,25,2,1
"near_edge","L",26,68,70,-65,-58,-2,2,13
"near_edge","L",80,25,55,-11,-101,-17,0,0
"near_edge","L",26,117,104,-65,-9,32,2,17
"near_edge","L",64,96,148,-27,-30,76,2,0
"near_edge","L",65,194,73,-26,68,1,2,1
"near_edge","L",25,88,51,-66,-38,-21,2,15
"near_edge","L",22,90,85,-69,-36,13,2,0
"near_edge","L",90,99,148,-1,-27,76,0,0
"near_edge","L",63,25,73,-28,-101,1,2,48
"near_edge","L",26,111,44,-65,-15,-28,2,0
"near_edge","L",26,125,83,-65,-1,11,0,0
"near_edge","L",89,22,75,-2,-104,3,2,48
"near_edge","L",90,194,77,-1,68,5,2,1
"near_edge","L",26,99,115,-65,-27,43,2,0
"near_edge","L",26,71,91,-65,-55,19,2,0
"near_edge","L",26,124,57,-65,-2,-15,2,0
"near_edge","L",26,107,88,-65,-19,16,2,17
"near_edge","L",22,87,68,-69,-39,-4,2,12
"near_edge","L",78,87,151,-13,-39,79,2,17
"near_edge","L",76,107,150,-15,-19,78,2,7
"near_edge","L",24,94,100,-67,-32,28,2,19
"near_edge","L",90,89,5,-1,-37,-67,8,0
"near_edge","L",76,195,83,-15,69,11,2,1
"near_edge","L",78,198,68,-13,72,-4,2,1
"near_edge","R",92,75,0,1,-51,-72,0,0
"near_edge","R",109,125,148,18,-1,76,13,0
"near_edge","R",99,194,54,8,68,-18,13,1
"near_edge","R",106,25,90,15,-101,18,13,48
"near_edge","R",161,115,62,70,-11,-10,13,0
"near_edge","R",158,94,114,67,-32,42,0,0
"near_edge","R",104,71,148,13,-55,76,13,0
"near_edge","R",158,73,74,67,-53,2,13,13
"near_edge","R",103,194,97,12,68,25,13,1
"near_edge","R",158,124,95,67,-2,23,13,0
"near_edge","R",110,25,58,19,-101,-14,13,0
"near_edge","R",94,99,148,3,-27,76,13,7
"near_edge","R",120,194,74,29,68,2,13,1
"near_edge","R",161,98,86,70,-28,14,13,0
"near_edge","R",120,93,148,29,-33,76,0,0
"near_edge","R",159,89,53,68,-37,-19,13,0
"near_edge","R",94,194,76,3,68,4,13,1
"near_edge","R",158,78,96,67,-48,24,0,0
"near_edge","R",93,24,70,2,-102,-2,0,48
"near_edge","R",158,107,45,67,-19,-27,13,0
"near_edge","R",118,25,76,27,-101,4,13,48
"near_edge","R",158,112,109,67,-14,37,0,0
"near_edge","R",163,98,68,72,-28,-4,13,12
"near_edge","R",160,115,80,69,-11,8,0,0
"near_edge","R",110,108,150,19,-18,78,13,7
"near_edge","R",105,87,152,14,-39,80,13,17
"near_edge","R",95,115,148,4,-11,76,13,0
"near_edge","R",113,194,60,22,68,-12,13,1
"near_edge","R",108,197,83,17,71,11,13,1
"near_edge","R",92,89,5,1,-37,-67,8,0
"near_edge","R",158,109,95,67,-17,23,13,17
"near_edge","R",160,87,77,69,-39,5,13,13
