"stratum","hemisphere","i","j","k","x","y","z","hospa","hocpa"
"near_edge","L",94,84,6,-2,-48,-72,0,0
"near_edge","L",84,131,155,-12,-1,77,2,3
"near_edge","L",89,200,60,-7,68,-18,2,1
"near_edge","L",83,29,100,-13,-103,22,2,48
"near_edge","L",26,116,74,-70,-16,-4,2,0
"near_edge","L",80,77,155,-16,-55,77,2,0
"near_edge","L",29,88,119,-67,-44,41,0,0
"near_edge","L",29,73,76,-67,-59,-2,2,0
"near_edge","L",86,200,102,-10,68,24,2,1
"near_edge","L",78,29,61,-18,-103,-17,0,0
"near_edge","L",29,125,110,-67,-7,32,2,0
"near_edge","L",29,94,53,-67,-38,-25,2,0
"near_edge","L",68,200,80,-28,68,2,2,1
"near_edge","L",91,103,157,-5,-29,79,2,7
"near_edge","L",25,96,93,-71,-36,15,0,0
"near_edge","L",29,120,48,-67,-12,-30,2,0
"near_edge","L",66,29,83,-30,-103,5,2,48
"near_edge","L",92,29,79,-4,-103,1,2,48
"near_edge","L",71,113,155,-25,-19,77,2,7
"near_edge","L",29,75,98,-67,-57,20,0,0
"near_edge","L",95,200,81,-1,68,3,0,1
"near_edge","L",24,93,73,-72,-39,-5,2,12
"near_edge","L",29,127,90,-67,-5,12,2,0
"near_edge","L",26,106,111,-70,-26,33,0,0
"near_edge","L",74,94,155,-22,-38,77,2,17
"near_edge","L",29,129,64,-67,-3,-14,2,0
"near_edge","L",25,108,60,-71,-24,-18,2,12
"near_edge","L",29,111,96,-67,-21,18,2,17
"near_edge","L",81,204,88,-15,72,10,2,1
"near_edge","L",29,81,63,-67,-51,-15,2,0
"near_edge","L",81,203,73,-15,71,-5,2,1
"near_edge","L",91,118,156,-5,-14,78,2,7
"near_edge","R",97,84,6,1,-48,-72,0,0
"near_edge","R",113,129,155,17,-3,77,13,3
"near_edge","R",106,200,58,10,68,-20,13,1
"near_edge","R",112,29,96,16,-103,18,13,48
"near_edge","R",166,116,71,70,-16,-7,13,0
"near_edge","R",107,77,155,11,-55,77,13,0
"near_edge","R",163,98,120,67,-34,42,13,0
"near_edge","R",102,200,103,6,68,25,13,1
"near_edge","R",163,78,86,67,-54,8,13,13
"near_edge","R",163,130,102,67,-2,24,13,0
"near_edge","R",116,29,65,20,-103,-13,0,0
"near_edge","R",124,200,82,28,68,4,13,1
"near_edge","R",163,90,58,67,-42,-20,13,0
"near_edge","R",97,104,155,1,-28,77,13,7
"near_edge","R",166,103,94,70,-29,16,13,0
"near_edge","R",121,98,155,25,-34,77,13,17
"near_edge","R",99,202,80,3,70,2,13,1
"near_edge","R",163,111,49,67,-21,-29,13,0
"near_edge","R",163,86,104,67,-46,26,13,0
"near_edge","R",168,95,76,72,-37,-2,13,12
"near_edge","R",104,29,79,8,-103,1,13,48
"near_edge","R",163,114,111,67,-18,33,13,17
"near_edge","R",163,127,57,67,-5,-21,13,11
"near_edge","R",163,127,85,67,-5,7,13,0
"near_edge","R",122,29,82,26,-103,4,13,48
"near_edge","R",112,112,156,16,-20,78,13,7
"near_edge","R",117,200,97,21,68,19,13,1
"near_edge","R",106,92,160,10,-40,82,13,17
"near_edge","R",163,80,70,67,-52,-8,13,13
"near_edge","R",121,200,67,25,68,-11,13,1
"near_edge","R",163,104,62,67,-28,-16,13,12
"near_edge","R",108,76,11,12,-56,-67,0,0
"boundary","L",83,76,12,-13,-56,-66,0,0
"boundary","L",87,186,124,-9,54,46,2,1
"boundary","L",76,58,140,-20,-74,62,2,22
